,CVE_ENT,CVE_MUN,CVE_LOC,NOM_LOC
0,01,000,0000,Aguascalientes
1,01,001,0000,Aguascalientes
2,01,001,0001,Aguascalientes
3,01,001,0106,Arellano
4,01,001,0120,Buenavista de Peñuelas
5,01,001,0126,Cañada Honda [Estación]
6,01,001,0127,Los Caños
7,01,001,0138,Centro de Arriba (El Taray)
8,01,001,0139,Cieneguilla (La Lumbrera)
9,01,001,0146,El Conejal
10,01,001,0190,El Duraznillo
11,01,001,0237,Jaltomate
12,01,001,0239,General José María Morelos y Pavón (Cañada Honda)
13,01,001,0296,El Ocote
14,01,001,0315,Peñuelas (El Cienegal)
15,01,001,0345,El Refugio de Peñuelas
16,01,001,0355,El Salto de los Salado
17,01,001,0357,Norias del Paso Hondo
18,01,001,0367,San Antonio de Peñuelas
19,01,001,0389,San José de la Ordeña
20,01,001,0429,Santa María de Gallardo
21,01,001,0444,El Tanque de los Jiménez
22,01,001,0479,Villa Licenciado Jesús Terán (Calvillito)
23,01,001,0863,Cotorina (Coyotes)
24,01,001,1025,Pocitos
25,01,001,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,01,001,9999,Localidad no especificada
27,01,002,0000,Asientos
28,01,002,0001,Asientos
29,01,002,0002,Las Adjuntas
30,01,002,0004,Plutarco Elías Calles
31,01,002,0005,Amarillas de Esparza
32,01,002,0007,Bimbaletes Aguascalientes (El Álamo)
33,01,002,0008,Bimbaletes Atlas (Tanque de la Vieja)
34,01,002,0010,Caldera
35,01,002,0011,Ciénega Grande
36,01,002,0012,Clavellinas
37,01,002,0014,Crisóstomos
38,01,002,0017,La Dichosa
39,01,002,0022,Francisco Villa
40,01,002,0025,Guadalupe de Atlas
41,01,002,0027,Jarillas
42,01,002,0028,Jilotepec
43,01,002,0030,Lázaro Cárdenas
44,01,002,0033,Molinos
45,01,002,0034,Las Negritas
46,01,002,0035,Noria del Borrego (Norias)
47,01,002,0039,Pilotos
48,01,002,0041,El Polvo
49,01,002,0045,El Salitre
50,01,002,0047,San Gil
51,01,002,0048,San José del Río
52,01,002,0058,El Tule
53,01,002,0059,Villa Juárez
54,01,002,0060,Viudas de Poniente
55,01,002,0128,San José del Tulillo
56,01,002,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
57,01,003,0000,Calvillo
58,01,003,0001,Calvillo
59,01,003,0004,Las Ánimas
60,01,003,0020,Colomos
61,01,003,0021,El Cuervero (Cuerveros)
62,01,003,0024,Chiquihuitero (San Isidro)
63,01,003,0032,Jaltiche de Abajo
64,01,003,0033,Jaltiche de Arriba
65,01,003,0036,La Labor
66,01,003,0043,Malpaso
67,01,003,0047,Mesa Grande
68,01,003,0055,Ojocaliente
69,01,003,0057,Ojo de Agua
70,01,003,0060,La Panadera
71,01,003,0079,El Salitre
72,01,003,0083,San Nicolás
73,01,003,0084,San Tadeo
74,01,003,0090,Temazcal
75,01,003,0094,La Teresa
76,01,003,0110,Crucero las Pilas
77,01,003,0184,Tepezalilla de Abajo
78,01,003,0382,La Fortuna
79,01,003,0385,El Morancillo (Los Arcos)
80,01,003,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
81,01,004,0000,Cosío
82,01,004,0001,Cosío
83,01,004,0008,La Punta (Licenciado Neder) [Fracción]
84,01,004,0025,El Refugio de Providencia (Providencia)
85,01,004,0026,La Punta
86,01,004,0028,El Refugio de Agua Zarca
87,01,004,0030,El Salero
88,01,004,0032,Santa María de la Paz
89,01,004,0033,Soledad de Abajo [Estación de Adames]
90,01,004,0038,Zacatequillas
91,01,004,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
92,01,005,0000,Jesús María
93,01,005,0001,Jesús María
94,01,005,0007,Los Arquitos
95,01,005,0017,El Cenizo
96,01,005,0023,Corral de Barrancos
97,01,005,0033,General Ignacio Zaragoza (Venadero)
98,01,005,0034,Gracias a Dios
99,01,005,0040,Las Jaulas
100,01,005,0041,Jesús Gómez Portugal (Margaritas)
101,01,005,0050,Maravillas
102,01,005,0060,Pedernal Primero
103,01,005,0066,Paso Blanco
104,01,005,0076,Los Ramírez
105,01,005,0084,San Antonio de los Horcones
106,01,005,0104,Tapias Viejas
107,01,005,0105,Tepetates
108,01,005,0106,La Tomatina
109,01,005,0109,Valladolid
110,01,005,0248,Milpillas de Abajo
111,01,005,0469,Jesús María [Ejido]
112,01,005,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
113,01,005,9999,Localidad no especificada
114,01,006,0000,Pabellón de Arteaga
115,01,006,0001,Pabellón de Arteaga
116,01,006,0002,Las Ánimas
117,01,006,0007,Emiliano Zapata
118,01,006,0040,San Luis de Letras
119,01,006,0045,Santiago
120,01,006,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
121,01,006,9999,Localidad no especificada
122,01,007,0000,Rincón de Romos
123,01,007,0001,Rincón de Romos
124,01,007,0006,El Bajío
125,01,007,0011,California
126,01,007,0016,16 de Septiembre
127,01,007,0018,Pablo Escaleras
128,01,007,0027,Morelos
129,01,007,0028,Estancia de Mosqueira
130,01,007,0030,Pabellón de Hidalgo
131,01,007,0034,Puerta del Muerto (El 15)
132,01,007,0040,San Jacinto
133,01,007,0041,San Juan de la Natura
134,01,007,0043,El Saucillo
135,01,007,0044,El Valle de las Delicias
136,01,007,0112,El Salitrillo
137,01,007,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
138,01,007,9999,Localidad no especificada
139,01,008,0000,San José de Gracia
140,01,008,0001,San José de Gracia
141,01,008,0011,La Congoja
142,01,008,0018,Paredes
143,01,008,0022,Rancho Viejo
144,01,008,0023,San Antonio de los Ríos
