,CVE,DESCRIP
0,A010,Fiebre tifoidea
1,A012,Fiebre paratifoidea B
2,A020,Enteritis debida a Salmonella
3,A021,Sepsis debida a Salmonella
4,A029,"Infección debida a Salmonella, no especificada"
5,A040,Infección debida a Escherichia coli enteropatógena
6,A047,Enterocolitis debida a Clostridium difficile
7,A049,"Infección intestinal bacteriana, no especificada"
8,A059,"Intoxicación alimentaria bacteriana, no especificada"
9,A060,Disentería amebiana aguda
10,A064,Absceso amebiano del hígado
11,A066,Absceso amebiano del cerebro
12,A068,Infección amebiana de otras localizaciones
13,A069,"Amebiasis, no especificada"
14,A071,Giardiasis (lambliasis)
15,A080,Enteritis debida a rotavirus
16,A084,"Infección intestinal viral, sin otra especificación"
17,A085,Otras infecciones intestinales especificadas
18,A090,Otras gastroenteritis y colitis de origen infeccioso
19,A099,Gastroenteritis y colitis de origen no especificado
20,A150,"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo"
21,A151,"Tuberculosis del pulmón, confirmada únicamente por cultivo"
22,A152,"Tuberculosis del pulmón, confirmada histológicamente"
23,A153,"Tuberculosis del pulmón, confirmada por medios no especificados"
24,A154,"Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente"
25,A156,"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente"
26,A157,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente"
27,A158,"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente"
28,A159,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente"
29,A160,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos"
30,A161,"Tuberculosis de pulmón, sin examen bacteriológico e histológico"
31,A162,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica"
32,A163,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica"
